feature,mean_importance,std
votes_total,1.297905692661925,0.009446781572842813
price,0.03181587520815889,0.001909717076338831
average_forever_hours,0.028244617144987327,0.0011129262275924071
price_delta,0.003241264133048605,0.0002874890440795415
average_2weeks_hours,0.00032969727863424447,7.712164417764442e-05
discount,0.00030296322854035386,0.00011749056385906339
