feature,mean_abs_shap
votes_total,0.6625084356227987
price,0.07671318944840054
average_forever_hours,0.07519079817234864
price_delta,0.014512487296057927
discount,0.0049648758704820325
average_2weeks_hours,0.002846444660878622
