feature,mean_abs_shap
votes_total,0.2880375700863119
average_forever_hours,0.00552224546897131
price,0.004745389138421663
price_delta,0.00047333208237412274
average_2weeks_hours,0.00011467370836627521
discount,3.6860452563125534e-05
