feature,mean_importance,std
votes_total,0.2880375700863119,0.0023715353407874028
average_forever_hours,0.00552224546897131,0.0008482093552664938
price,0.004745389138421663,0.0007440567057439295
price_delta,0.00047333208237412274,0.00034484411963523414
average_2weeks_hours,0.00011467370836627521,0.00023672671937572783
discount,3.6860452563125534e-05,0.00017176189871178293
