feature,mean_abs_shap
votes_total,1.3805775681915895
average_forever_hours,0.2026174320200651
price,0.17782572858487486
price_delta,0.018233859007116934
average_2weeks_hours,0.0060480480253786205
discount,0.00372601416897282
